Firm Name,Year End,EoF for SCR (£m),Excess of assets over liabilities (£m) [= equity],GWP (£m),NWP (£m) ,SCR (£m),SCR coverage ratio,Total assets (£m),Total liabilities (£m)
Firm 1,2016,2416.559784992302,1243.92499082561,46.76803042498611,-17754.10048645742,2021.3218622469626,0.16251965516029768,63676.869102333185,40171.68315594512
Firm 1,2017,3.796177092257411,4.398725104861754,0.0,0.0,6.9400432308232975e-09,55887003.05757315,9.566095697378056,0.0
Firm 1,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 1,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 10,2016,2052.58151699441,7807.061166901381,678.2237701851045,404.1160219992416,3839.041693741293,1.2492463304706627,260340.85252015857,200126.39849892358
Firm 10,2017,11977.144969281377,8980.14836025152,9887.800615569791,3882.087306477307,5102.458601165536,0.6691804829843994,156760.4860974873,130277.8931160651
Firm 10,2018,4128.905509995237,6395.468597786817,9002.10889465722,6640.433865586559,2578.8272055136586,1.9579214179256925,192068.20515067197,193831.90638179219
Firm 10,2019,5724.021345596258,4200.109278072575,10552.586689501439,5196.618355333824,323.48157450686386,1.1120324512846302,205328.17978308894,91918.53824529017
Firm 10,2020,8207.819856927576,9062.225268138169,882.4791584372625,221.98651559297582,1773.6936842881573,0.5987866761162269,195835.57931149038,254270.41238559538
Firm 100,2016,8.532401988628886,97.44331933389226,12.567195955164566,22.372518161377272,34.14261841088189,2.2208274417430176,482.5686805292245,40.392517144477914
Firm 100,2017,24.312494388323284,144.28525371088128,31.029872268166887,16.45042009697727,9.900710674147005,2.296812122616944,185.13002979701244,33.360368793825515
Firm 100,2018,78.64791733382513,132.55979517916202,46.98712573826516,5.194659279985771,43.045766955791876,0.8189945430309409,469.6715048439005,75.77735603904091
Firm 100,2019,17.05681180596184,236.22433379972642,4.316458136285042,49.257907784642285,12.30244962228142,0.9063138023791818,406.0109179212507,11.924352199313937
Firm 100,2020,65.98095771847278,71.11477910564523,29.951860618250194,55.76564041962678,70.57782428547003,0.2050005707376356,9.14983492786752,134.55295259502475
Firm 101,2016,2948.272033381276,3640.4443469113307,12011.61972033483,7932.403099963337,438.92924835634153,1.9929297369437822,172242.6460934764,161113.14052382438
Firm 101,2017,13609.701870514558,13153.099555283447,12883.16956527509,3304.202644534471,7521.082011459095,1.4076342352779134,42380.32687718712,139711.90901296554
Firm 101,2018,14032.986333610925,11049.082724533228,3854.215480799787,2397.4541181589916,7134.264915951812,0.13614022409986756,176031.6640914181,184356.29778962195
Firm 101,2019,3133.622320303491,10807.461906664816,4418.4829521469555,4804.131318185978,3369.6133716157974,1.875702546445075,14345.263861441086,187041.54179065287
Firm 101,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 102,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 102,2017,3.751716619130753,11.726382020377716,0.0,0.0,0.6652722423493189,13.673022627610159,3.1723597364547884,0.03633687034017276
Firm 102,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 102,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 102,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 103,2016,65.58673857030517,15.170286924576219,0.0,0.0,1.0056239556738544,44.41230139403979,78.67259130625462,0.6528796879781706
Firm 103,2017,29.0497897001668,54.73310208621314,0.0,0.0,1.631688222557971,11.532295726703369,69.85665235286555,15.367462701882719
Firm 103,2018,18.474242176739192,47.91644779877402,0.0,0.0,1.1231713722787808,2.595550709217078,64.46983874086176,0.6099225836724589
Firm 103,2019,54.30340555936274,22.213709982255292,0.0,0.0,0.5374486111964296,66.24189928883077,5.484526696097802,15.918701641661036
Firm 103,2020,7.256786597032225,0.46830148569053576,0.0,0.0,0.37501481718042623,10.240305871641517,29.484615338279703,2.29105829095239
Firm 104,2016,32.27768058048764,46.73722765703594,546.9768872753936,12.743262622373793,2.618417222514864,19.0161208002903,3901.2592665282277,3697.0431833191005
Firm 104,2017,16.92472038234349,6.6544562380651415,561.6734550820423,63.765439411005985,0.00974681403340689,11.014060008213324,12133.981830449426,2236.6170952719654
Firm 104,2018,53.75460263897195,43.15854819692338,15841.841020392627,18870.46461242304,3.089429094370445,5.625303182051689,3824.1028900627516,13256.678504915135
Firm 104,2019,50.84454210715088,19.370445346772886,1852.2337645264097,1697.6196489579918,12.813155253693095,4.7373011368974955,1234.9639203948766,4106.2111627516915
Firm 104,2020,30.990389523048556,60.00092661268924,5256.831640034237,6174.582162168235,3.682383526730648,2.2401609633777917,5368.977021261355,29518.36974599263
Firm 105,2016,965.5462772649486,24780.59717720654,29995.224154702075,41465.11034251239,18258.886129437753,2.4544130324816207,167831.8176017927,211056.0025844378
Firm 105,2017,28229.02928547636,26705.042052989247,362.6870167073233,18539.933748331474,17563.273844166244,0.3908208413720396,330417.5171515458,78969.86705302178
Firm 105,2018,15399.77980480392,12254.767689066884,11934.118360710367,-11.983526351438536,4194.659089706481,2.158238981714257,50705.87293296307,281756.58335548604
Firm 105,2019,479.8619763400488,25698.092464393423,18504.741252277956,21335.956931308487,16716.945094600098,2.2916988780947025,169654.93295713852,207902.75811260304
Firm 105,2020,17153.67632609179,14418.773140874968,5857.037438484294,2612.5534727947547,18335.57195040073,1.171555323175844,105212.73192207728,175127.63072875317
Firm 106,2016,155.7806047444565,0.6074199035443688,117.99910409377016,127.69550363441421,210.37765084566962,0.7147126950299492,4065.139372295407,3868.4483792955893
Firm 106,2017,363.65455815587535,182.7254469965954,65.18850151295617,174.04678525599527,11.30004408235041,0.9292052547687902,116.58011396807066,3682.3635176289017
Firm 106,2018,14.714366293866286,260.2948513528063,265.45435164129054,208.0105138235878,234.53862858095061,1.5080106055336793,1836.9680921728302,1516.978945549884
Firm 106,2019,76.30481415497633,246.58388345592468,137.27754991954112,73.75529196486264,100.47504656443645,2.0695809291460985,2345.565669328856,3653.6069418724824
Firm 106,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 107,2016,2716.819045907278,2317.3604240414506,3523.3276417231236,4240.167741800196,1430.846690760562,0.07883928499353379,2278.730922239236,11193.55078783245
Firm 107,2017,1766.096729834916,2609.055621866756,5981.029359013771,279.9844891276378,2461.8598094555314,0.4572394250908648,8101.559933399181,3899.9148445492665
Firm 107,2018,1443.3521677118217,2465.928164110258,627.0283676595251,3969.0844440135475,134.10112164754602,1.32743109258013,10742.292934484818,2959.6192989827323
Firm 107,2019,3503.788663590817,3278.546226428004,5989.985194690473,1213.2564923041948,2123.074931682259,1.6082509689695155,13522.846534615619,5504.7547298261925
Firm 107,2020,2390.2089040889255,2330.308050929041,954.7736668168894,2626.46521895736,974.4177228310929,2.71977077637249,2892.5248417301254,6273.189753300106
Firm 108,2016,1.4821615363772782,7.162784190179812,0.0,0.0,0.2658586698223057,1.9482024066530415,0.832712900471489,19.711187139573056
Firm 108,2017,15.553118238295998,2.5764843937742192,0.0,0.0,1.4094192063269924,3.5964001608413385,12.44512167029533,15.96329650639843
Firm 108,2018,5.380604167496102,11.839095560322082,0.0,0.0,0.4550692645310387,8.984298971222312,7.270441696958369,9.765182991183496
Firm 108,2019,12.982776321015114,4.66064792116838,0.0,0.0,1.0497901595125465,6.162488424855666,13.944030137028864,16.774427832155435
Firm 108,2020,7.901164090263524,1.8373709372952183,0.0,0.0,0.9265489934161021,10.503999006914981,30.00489806496859,10.11408706867763
Firm 109,2016,-130.31990696288466,-45.015019217159384,0.0,0.0,25.82207239877109,-1.1357172766447252,514.4364478306031,611.6870271969975
Firm 109,2017,-108.0066523448782,-17.121020521485466,0.0,0.0,8.073924100316377,-0.9778045813785722,222.86652413960908,380.10105283369046
Firm 109,2018,-82.47872995308262,-51.17078481404979,0.0,0.0,33.38429367920447,-0.17012888514563654,461.5893629326784,433.9909592728528
Firm 109,2019,-31.395256411284638,-62.224787728889005,0.0,0.0,150.89840940719205,-1.1937096480360627,222.8141776940208,292.10567635756934
Firm 109,2020,-150.31240237104853,-118.10142865081235,0.0,0.0,135.5773163322597,-0.7202929057414018,529.8815648973216,669.0476451558061
Firm 11,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 11,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 11,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 11,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 11,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 110,2016,75.03968399551829,37.515824229579366,0.7878791177433369,-1.8585515022283636,130.15519370470736,1.6257293554912964,3378.8865352862404,1341.5878666806748
Firm 110,2017,113.86057183067999,71.47429105321818,6.805013302222136,-2.190734141358824,65.14919080982467,0.5106208968062711,2383.8564221156403,2974.7406462197414
Firm 110,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 110,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 110,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 111,2016,82.22497707869931,235.23672824869018,125.88847739008378,4.7771603760353,39.1635401603002,2.082426830950478,153.6172118472789,285.037849351865
Firm 111,2017,66.39697911286845,134.87064434526002,16.307172388342032,11.807483428110997,49.15148307543466,3.5563151391246715,494.104573711755,134.55303129542588
Firm 111,2018,135.02551453218152,152.69262083107526,3.7881608157451887,11.57421340324139,42.036837020468184,3.0885354442135284,404.6948886371086,276.92668987506323
Firm 111,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 111,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 112,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 112,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 112,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 112,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 112,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 113,2016,162.80030621214476,126.1639365104243,0.0,0.0,105.00770156629844,0.467585916766098,67.38884716749577,167.46154210459918
Firm 113,2017,1.9984459351273336,210.42447610325382,116.69460572683973,197.68785077752304,170.1103844833573,1.407742476897751,301.4764714475699,34.56952182648163
Firm 113,2018,16.33733911913316,175.70370395501237,91.76710069999095,200.1574642438359,99.9158674670077,0.8692075110563198,0.5797401548516777,200.60728731085888
Firm 113,2019,64.60539072024895,177.86834094938223,237.42162305472849,155.1320658909893,100.1582509313337,1.7184270851051624,470.8193740397681,355.10588342753016
Firm 113,2020,121.89303049688579,204.35537705062504,118.44520009107715,143.32502202666421,187.67233984276518,1.181418027247044,66.62777671954753,392.86767408529465
Firm 114,2016,110.2806613402437,95.70578104009977,3.3292185444829423,2.8940335632422,73.60934322650559,1.6935951635977295,2144.714609266185,4241.424514436033
Firm 114,2017,4.271265858578026,46.96170122999757,115.94380220294696,42.37636397495771,4.539125365856539,2.6206611763880563,1021.1897197770555,1928.030326790034
Firm 114,2018,47.19386240559783,101.6285807089117,153.22122327444293,100.75987262004963,18.807029250251578,2.118785943957443,2358.096029445,4678.959721251545
Firm 114,2019,11.561825925198848,5.766206277896336,311.38831716636975,118.88046018668052,40.99717691550605,0.4917182869626784,631.0311885077161,3379.9435587536655
Firm 114,2020,55.64100135591937,73.09174854385377,112.25405953325871,255.90675501454342,0.4999490326006974,2.046055297433873,3258.9788327057668,1659.915099336809
Firm 115,2016,53.12123020130052,94.20345328393749,153.90639445690957,105.00945901619136,49.13779251724827,2.800381866383557,83.82898832078426,78.45006228308492
Firm 115,2017,14.491300593607159,149.01807225908146,315.7015250127821,349.19022272222486,3.468615835184073,0.005623098557576056,172.34923065158898,122.79837803090886
Firm 115,2018,7.014092300543255,160.70571674780768,364.9825478488516,397.3675573835767,20.23841011675678,1.7223090043873204,104.12162580761708,254.21036361634992
Firm 115,2019,18.982283377477103,73.2493433164686,60.034483139498946,167.1823360473975,61.7158797706374,1.5126809085976394,330.64943180853163,95.87419667032938
Firm 115,2020,4.3551185144023625,46.637150515067944,19.177493792379103,326.27263058362774,102.66173030699963,4.413961191603967,431.0741560021339,167.14039110560128
Firm 116,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 116,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 116,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 116,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 116,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 117,2016,2.5705090327675126,4.1491968136213595,0.003194561382391536,0.00365528847700327,1.3425754935594674,3.892330017406571,2.599441310287013,0.7210788122622096
Firm 117,2017,3.8186053348811284,4.551567914666529,0.00022273277108745347,0.00011288568101287515,0.01695796617413991,15.45110657046947,0.7434637810076499,0.014941735119728938
Firm 117,2018,57.71981344087199,26.95968513190352,0.0,0.0,11.187532624448584,3.4771780706096984,103.10431305649799,55.94869237498825
Firm 117,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 117,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 118,2016,12.409760713382092,10.974283933341196,4.076366820055923,1.6708428667154742,6.275660520696911,2.2712425132774294,180.93207463545522,29.090989161820602
Firm 118,2017,12.433764105071177,1.1724575621631879,2.233325862544051,1.2923297383979828,1.2755938526909267,2.3021596751382605,111.45620620510218,119.36838019193435
Firm 118,2018,1.3231899520228978,6.501187766909888,9.36767137523616,4.489600193795028,8.101528742332087,0.7956789435484339,31.21338700432124,178.66204126272376
Firm 118,2019,10.759838816496892,8.194703693344502,0.563204997477875,5.420043096743354,1.71503026600465,2.721139329584407,62.59895873439039,187.23726098175368
Firm 118,2020,12.06815769322326,0.16067970664156478,1.5426423154153375,0.22272194876537635,5.825751407131619,0.16818908103241004,93.8215118828288,186.60096811939073
Firm 119,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 119,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 119,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 119,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 119,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 12,2016,2.4609070596874805,0.18845941008198752,0.0,0.0,1.1260371510800897,5.11562808740005,9.659121679201847,3.92884619705656
Firm 12,2017,2.186284124009043,1.1773422623795256,0.0,0.0,0.9472278356987943,3.2628749275837405,19.932729616286114,1.0286922147145692
Firm 12,2018,2.5753111063977085,6.465634921131908,0.0,0.0,1.216207085139456,5.7356005102034775,8.687649388804962,6.40417043641234
Firm 12,2019,1.3980606418164419,5.549626506284539,0.0,0.0,1.725934987768589,2.290197835817658,13.347021076720253,2.4361515468366806
Firm 12,2020,5.21035008251464,3.077297417439005,0.0,0.0,1.0605868434299535,0.8329425496830719,9.680439460688017,4.572480258533199
Firm 120,2016,3435.4106144159236,1448.039814960404,1263.0853567825006,534.8406522577102,1670.7735016751749,0.037248833785092715,96554.36105527155,75717.3920467698
Firm 120,2017,2915.8280305271846,466.83909459653313,5740.063816262242,2406.7791463173667,767.5855172201216,0.7093112721161468,95640.77596279644,78126.50762880644
Firm 120,2018,1519.0565779825824,803.5860486255131,3032.3286694143003,6902.885912562217,237.7084833528912,1.3963420103859683,83341.82656619669,59619.09601621187
Firm 120,2019,2871.963167167839,2982.180352395856,4823.981169419413,4542.235555134746,1477.826751225746,1.3441018054013705,5905.203157975556,37205.59681514348
Firm 120,2020,2219.642679111791,1369.723293071849,131.68253618965335,687.5913366300434,1317.188288320373,0.9450309591109708,6402.829293257317,8037.476539284391
Firm 121,2016,6.411596381741945,0.4496573682314701,3.035021235797361,6.634267616425839,4.4956892012907375,0.6339246196825515,5.04495319454406,0.3205344275407526
Firm 121,2017,2.73686243808096,4.974220441822139,17.812697491709272,11.401445731021541,0.05959451730194971,2.1151641837659954,6.348714240193361,0.6390940976426618
Firm 121,2018,2.0683450787578286,2.071662667901562,5.678737087953812,13.030033976952897,2.350778881014606,1.6114563518048959,8.166227441861711,1.040030015809978
